LU132;Hilferenmättili
LU133;Naturlehrgebiet Buechwald
LU133;Naturlehrgebiet Buechwald
LU145;Egghütten
LU145;Egghütten
LU155;Unter Chlotisberg
LU155;Unter Chlotisberg
LU156;Unterbüel
LU156;Unterbüel
LU206;Nordende Baldeggersee
LU206;Nordende Baldeggersee
LU210;Schützenfeld-Moospünten
LU213;Turbiweiher/Ronfeldweiher
LU222;Gütsch/Feldhof
LU222;Gütsch/Feldhof
LU227;Steinibachried
LU230;Burgschachen
LU246;Wolermoos
LU248;Hagimoos
LU248;Hagimoos
LU267;Schlagweiher
LU267;Schlagweiher
LU331;Tuetenseeli
LU331;Tuetenseeli
LU341;Vogelmoos
LU341;Vogelmoos
LU354;Moosschürweiher
LU359;Chüsenrainwald
LU360;Mühleweiher
LU360;Mühleweiher
LU398;Badhusaue-Fontanne
LU408;Staudenschachen Südarm
LU410;Unterallmend
LU410;Unterallmend
LU425;Forenwäldli
LU425;Forenwäldli
LU434;Steinibüelweier
LU434;Steinibüelweier
LU454;Wauwilermoos
LU454;Wauwilermoos
LU469;NE Hirsboden
LU469;NE Hirsboden
LU476;Hinter Roren
LU486;Grueb Grossfeld
LU486;Grueb Grossfeld
LU491;Wagenmoos
LU491;Wagenmoos
LU512;Ostergau
LU519;Grube Stoos Hüswil
LU523;Forenmoos
LU523;Forenmoos
LU524;Moosweiher
LU532;Chänzeli/Schachen
LU532;Chänzeli/Schachen
LU582;Grisigen
LU582;Grisigen
LU606;Wannenholz
LU606;Wannenholz
LU669;Lättloch
LU669;Lättloch
LU746;Zihlmatt Allmend
LU746;Zihlmatt Allmend
LU983;Buttenberg
NE1;Marnière du Plan du Bois
NE1;Marnière du Plan du Bois
NE2;Planeyse
NE2;Planeyse
NE3;Merdasson
NE3;Merdasson
NE5;La Gare
NE5;La Gare
NE12;Le Pélard
NE12;Le Pélard
NE13;Les Eplatures
NE13;Les Eplatures
NE18;La Galandrure
NE18;La Galandrure
NE56;La Marnière d'Hauterive
NE58;Le Loclat
NE58;Le Loclat
NE68;La Paulière
NE68;La Paulière
NE71;Les Sagnettes
NE71;Les Sagnettes
NE99;Le Foulet
NE99;Le Foulet
NE106;Les Goudebas
NE106;Les Goudebas
NE107;La Fabrique
NE107;La Fabrique
NE108;Pointe du Grain
NE115;Vauroux
NE115;Vauroux
NE159;Combacervey
NE159;Combacervey
NE163;Bois du Devens
NE163;Bois du Devens
NW59;Gnappiried
NW59;Gnappiried
NW61;Vierwaldstättersee Hüttenort
NW61;Vierwaldstättersee Hüttenort
NW62;Stansstader Ried/Rotzloch
NW62;Stansstader Ried/Rotzloch
NW69;Chrotteseeli Obbürgen
NW69;Chrotteseeli Obbürgen
OW1;Schlierenrüti, Reservat Sarna
OW1;Schlierenrüti, Reservat Sarna
OW35;Glaubenbielen Ribihütte
OW35;Glaubenbielen Ribihütte
OW45;Mörlisee
OW45;Mörlisee
OW47;Jänzimatt
OW63;Usser Allmend
OW63;Usser Allmend
OW78;Gerzensee, Blindseeli
OW78;Gerzensee, Blindseeli
OW109;Lungerer See Nordende
OW109;Lungerer See Nordende
OW123;Hanenriet
OW123;Hanenriet
OW127;Sachsler Seefeld
OW127;Sachsler Seefeld
OW167;Sewenseeli
OW201;Ritzenmattseeli
OW201;Ritzenmattseeli
OW204;Obermatteggweiher
OW204;Obermatteggweiher
OW213;Melbach
OW213;Melbach
SG9;Bildweiher
SG9;Bildweiher
SG20;Wenigerweiher
SG20;Wenigerweiher
SG21;Ochsenweid
SG27;Ziegelei Bruggwald
SG30;Huebermoos
SG30;Huebermoos
SG33;Kiesgrube Schuppis
SG42;Goldachtobel
SG59;Schlossweiher
SG59;Schlossweiher
SG70;Höchstern
SG94;Moosanger
SG94;Moosanger
SG103;Bisen
SG110;Eselschwanz
SG110;Eselschwanz
SG113;Bodenseeriet, Altenrhein
SG118;Fuchsloch-Buriet
SG118;Fuchsloch-Buriet
SG140;Banriet/Burst
SG140;Banriet/Burst
SG170;Alte Lehmgrube Hilpert
SG170;Alte Lehmgrube Hilpert
SG177;Wichenstein
SG177;Wichenstein
SG179;Spitzmäder
SG179;Spitzmäder
SG190;Au Büchel
SG190;Au Büchel
SG201;Wiesenfurt
SG201;Wiesenfurt
SG205;Retentionsbecken Ceres Rhein-Au
SG205;Retentionsbecken Ceres Rhein-Au
SG236;Burstried, Galgenmad
SG236;Burstried, Galgenmad
SG248;Egelsee bei Bad Forstegg
SG248;Egelsee bei Bad Forstegg
SG342;Kiessammler Vilters
SG342;Kiessammler Vilters
SG344;Kiesgrube Feerbach
SG365;Baggerseen im Staffelriet
SG365;Baggerseen im Staffelriet
SG367;Mösli
SG367;Mösli
SG374;Kaltbrunnerriet
SG374;Kaltbrunnerriet
SG384;St. Sebastian
SG384;St. Sebastian
SG396;Siessenweiher
SG396;Siessenweiher
SG398;Briggisweiher N Auenhof
SG398;Briggisweiher N Auenhof
SG399;Joner Allmeind
SG399;Joner Allmeind
SG405;Allmeind
SG496;Zuckenmattweiher
SG496;Zuckenmattweiher
SG506;Turpenriet
SG506;Turpenriet
SG515;Magdenau
SG515;Magdenau
SG525;Glatttal
SG552;Bettenauerweier
SG552;Bettenauerweier
SG554;Gill-Henau Reservat
SG554;Gill-Henau Reservat
SG561;Hasenlooweiher
SG561;Hasenlooweiher
SG563;Huserfelsen, Himmelbleichi
SG563;Huserfelsen, Himmelbleichi
SG566;Kiesgrube Landguet
SG566;Kiesgrube Landguet
SG574;Ehemalige Kiesgrube Au
SG587;Riet Zuzwil
SG587;Riet Zuzwil
SG598;Arniger Witi
SG600;Espel
SG603;Waffenplatz Breitfeld
SG603;Waffenplatz Breitfeld
SG614;Weiher NE Hohfirst
SG614;Weiher NE Hohfirst
SG617;School
SG618;Kiesgrube Hori
SG618;Kiesgrube Hori
SH21;Morgetshofsee
SH21;Morgetshofsee
SH31;Bohnerzgruben Färberwiesli
SH31;Bohnerzgruben Färberwiesli
SH43;Eschheimer Weiher
SH43;Eschheimer Weiher
SH69;Lehmlöcher Rüti
SH70;Lehmlöcher Dicki
SH401;Feuchtgebiet Widen
SH1501;Bachtelli/Seeli
SH1501;Bachtelli/Seeli
SH1901;Rohrenbüeli-Stritholz
SH1901;Rohrenbüeli-Stritholz
SH3201;Bohnerzgruben Chäferhölzli
SH3201;Bohnerzgruben Chäferhölzli
SH3902;Moos-Buck Herblingen
SH3902;Moos-Buck Herblingen
SH3933;Spitzwisen
SH3933;Spitzwisen
SH6203;Alte Biberschleife
SH6203;Alte Biberschleife
SH6301;Ried/Lehmgrueb Hofenacker
SH6301;Ried/Lehmgrueb Hofenacker
SH6401;Egelsee Degerfeld Wagenhausen
SH6401;Egelsee Degerfeld Wagenhausen
SH7101;Weiher Lochgraben
SH7101;Weiher Lochgraben
SO6;Ägertengrube
SO11;Chli Aarli
SO11;Chli Aarli
SO44;Tümpel Stierenberg
SO44;Tümpel Stierenberg
SO63;Baslerweier
SO63;Baslerweier
SO65;Tümpel untere Erli
SO65;Tümpel untere Erli
SO69;Obergösger Schachen
SO83;Erlenmoos, Haag
SO84;Biedermannsgrube
SO84;Biedermannsgrube
SO96;Riedbrunnmatt
SO96;Riedbrunnmatt
SO117;Sumpfwiese Neuhüsli
SO117;Sumpfwiese Neuhüsli
SO137;Höchweidli
SO137;Höchweidli
SO143;Lobiseiweiher
SO143;Lobiseiweiher
SO177;Grenchner Witi
SO177;Grenchner Witi
SZ2;Breitried/Schützenried
SZ3;Oberer Sihlsee Euthal
SZ3;Oberer Sihlsee Euthal
SZ4;Sihlsee S Schönbächli
SZ4;Sihlsee S Schönbächli
SZ5;Sihlsee Steinbach (Lukasrank)
SZ5;Sihlsee Steinbach (Lukasrank)
SZ7;Klosterweiher
SZ7;Klosterweiher
SZ10;Trachslauerweiher
SZ10;Trachslauerweiher
SZ30;Schindellegi
SZ30;Schindellegi
SZ34;Dreiwässern
SZ34;Dreiwässern
SZ60;Reumeren
SZ60;Reumeren
SZ68;Sägel, Schutt, Lauerzersee
SZ72;Grosswijer
SZ72;Grosswijer
SZ77;Klosterried Ingenbohl
SZ77;Klosterried Ingenbohl
SZ131;Hinter Ibach
SZ131;Hinter Ibach
SZ138;Aazopf
SZ152;Bätzimatt
SZ152;Bätzimatt
SZ171;Pfaffenhaut
SZ171;Pfaffenhaut
SZ179;Lauenen
SZ179;Lauenen
SZ180;Golfplatz Nuolen
SZ180;Golfplatz Nuolen
TG7;Kiesgrube Atzenholz
TG34;Biessenhofer Weiher
TG40;Hudelmoos
TG49;Hauptwiler Weiher
TG49;Hauptwiler Weiher
TG62;Kiesgrube Freudenberg
TG69;Langstuden Befang
TG72;Wiimoos
TG82;Sürch
TG89;Schaarenwies/Schaarenwald
TG89;Schaarenwies/Schaarenwald
TG93;Bächli-Gishalde
TG93;Bächli-Gishalde
TG94;Riet
TG104;Luggeseeli
TG116;Baggersee Chasperäcker
TG117;Ägelsee
TG127;Allmend
TG165;Mösliweiher
TG165;Mösliweiher
TG166;Müliweier
TG166;Müliweier
TG170;Barchetsee
TG177;Kiesgrube Bärg
TG179;Grüt-Bietenhart-Wolfsbüel
TG197;Kiesweiher Weidacker
TG197;Kiesweiher Weidacker
TG200;Googlete
TG213;Bommer Weiher
TG231;Espen Riet
TG231;Espen Riet
TG242;Lengwiler Weiher
TG244;Seeburg
TG244;Seeburg
TG261;Seerhein Chuehorn-Paradies
TG264;Kiesgrube Wolfsbüel
TG276;Bichelsee
TG276;Bichelsee
TG294;Lommiser Riet
TG316;Ägelsee
TG316;Ägelsee
TG349;Grütriet
TG367;Kiesgruben Neuhus-Bälisteig
TG386;Bächler
TG387;Grube Trubeschloo
TG388;Hüttwiler Seen
TG388;Hüttwiler Seen
TG413;Schoren Riet
TG413;Schoren Riet
TG424;Ägelsee
TG425;Grube Gündelhart
TG429;Wolfsgrueb
TG429;Wolfsgrueb
TG432;Waldriet Grosswis
TG438;Heeristobel
TG438;Heeristobel
TG440;Etzwilerriet
TG443;Reservat Schule Kaltenbach
